gene,Falcons,stringlis
AT2G15760,1.569112067271518,0.2394931335611905
AT1G66400,2.395433090066193,0.07062740875177526
AT1G56060,4.729116069812632,0.0
AT1G63530,1.116486494078795,0.0
AT5G60890,-1.064044847973274,-0.3731452093496293
AT4G08850,2.734491106457228,0.2295452679065753
AT1G31950,-1.088945093383463,-0.1747558471948473
AT3G57760,2.61830655974201,0.07714525898383977
AT3G51990,0.4061099898266126,0.2555176385087939
AT4G23320,1.976591615904157,0.0
AT3G45040,1.157342366868815,0.01429675445832784
AT3G19380,1.015005979649569,-0.06092227273944018
AT2G39220,0.4296026796730606,-0.06875586047456776
AT4G39570,3.617449172527096,0.2203339933540087
AT3G12690,-0.6243369246152622,0.1304209590410872
AT3G12360,1.13963764560446,0.2468492831741637
AT3G04550,-0.2973350389175452,0.1571775862012413
AT2G27820,-0.9895514380426967,0.1018411680754295
AT4G31950,8.83650116650879,0.0
AT5G59080,2.630256960177534,0.464757923969363
AT1G17600,0.4739082772803559,-0.1305405299035884
AT1G51430,-0.5220486336450091,-0.01849406339615658
AT1G62420,2.02106940923931,0.0
AT4G23280,2.738235366659186,2.890061257252123
AT3G62720,1.605896844612758,-0.1667200843105907
AT3G07600,2.505693763044338,-0.01383567516664035
AT1G49510,-0.2874314420227801,-0.03978808581835779
AT4G25900,0.9873279537144453,0.3390070209395673
AT3G07790,0.6998389069806324,0.05552593596296403
AT2G26360,-0.6198323821076166,0.0271549870165338
AT4G08470,0.2191827703843519,-0.06724250075752511
AT1G67190,-0.5139548845268644,0.04882633874914475
AT5G62460,0.9542845270415875,0.0218763515732022
AT1G77760,0.2595244576354866,0.2190292302182556
AT4G39840,0.3263505869293996,0.05231239570644415
AT1G24350,0.2263064265083559,0.1679692732491459
AT3G50060,2.082613167484555,0.0286978514133595
AT2G28940,1.103847554489046,-0.2192625057845525
AT2G02070,-0.3609623718300222,-0.1376303813725934
AT4G20300,0.2954260352439774,-0.2041023828007208
AT1G73670,0.6999224292104355,-0.2586463677315443
AT1G29500,-0.9290580403853838,0.0
AT5G53450,-0.4918924357059421,0.1682048504111179
AT1G13340,3.574889897563463,0.1878144171557629
AT4G18540,2.577047417434903,0.0
AT5G02780,0.7653214312420478,0.07014631686512468
AT2G47070,0.8917262886517873,-0.04099844193986564
AT2G37630,-0.5972415399367619,0.04308753032754999
AT5G42000,0.3001761581009366,-1.021472118576313
AT1G47640,-0.2084817044944656,-0.3125135060485587
AT5G01720,0.5668644055018894,-0.1177487448664705
AT3G46530,0.7997863082116718,0.2011527817362663
AT1G34750,1.310524601032638,0.3815086905186305
AT3G57640,3.1149644953244,0.3418092323927143
AT2G32800,2.260501065668016,0.09329225294773216
